Czas,TempUp_C,TempDown_C,HumUp_%,HumDown_%,PeltUp_C,PeltDown_C
13:45:02,28.100000,27.700001,65.199997,66.199997,27.750000,28.875000
13:45:06,28.100000,27.700001,64.099998,66.199997,27.750000,28.875000
13:45:10,28.000000,27.700001,65.099998,66.199997,27.750000,28.875000
13:45:14,28.100000,27.700001,65.199997,66.199997,27.812500,28.875000
13:45:17,28.100000,27.700001,65.199997,66.199997,27.750000,28.875000
13:45:21,28.100000,27.700001,65.199997,66.199997,27.812500,28.875000
13:45:25,28.100000,27.700001,65.199997,66.199997,27.812500,28.875000
13:45:29,28.100000,27.700001,65.199997,66.199997,27.187500,28.875000
Czas,TempUp_C,TempDown_C,HumUp_%,HumDown_%,PeltUp_C,PeltDown_C
13:47:36,28.100000,27.700001,65.099998,66.099998,27.187500,28.875000
13:47:40,28.100000,27.700001,64.000000,66.099998,27.812500,28.875000
13:47:44,28.100000,27.700001,65.099998,66.099998,27.750000,28.875000
13:47:48,28.100000,27.700001,65.099998,66.099998,27.812500,28.875000
13:47:51,28.100000,27.700001,65.099998,66.099998,27.812500,28.875000
13:47:55,28.100000,27.700001,65.099998,66.099998,27.812500,28.875000
13:47:59,28.100000,27.700001,65.099998,66.099998,27.875000,28.875000
13:48:03,28.100000,27.799999,65.099998,66.199997,27.187500,28.937500
13:48:06,28.100000,27.700001,65.099998,66.000000,27.750000,29.000000
13:48:10,28.100000,27.700001,65.000000,66.000000,27.875000,29.250000
13:48:14,28.100000,27.700001,65.000000,66.000000,27.687500,29.562500
13:48:18,28.100000,27.700001,65.000000,65.900002,27.687500,30.000000
13:48:21,28.100000,27.700001,64.900002,65.900002,27.125000,30.437500
13:48:25,28.100000,27.700001,65.000000,65.900002,27.562500,30.875000
13:48:29,28.100000,27.700001,65.000000,66.000000,27.562500,31.375000
13:48:32,28.100000,27.700001,65.000000,66.000000,27.625000,31.812500
13:48:36,28.100000,27.700001,65.000000,66.000000,27.375000,32.250000
13:48:40,28.100000,27.700001,65.000000,66.000000,26.750000,32.687500
13:48:44,28.100000,27.700001,65.000000,66.000000,27.250000,33.125000
13:48:47,28.100000,27.700001,65.000000,66.000000,27.125000,33.500000
13:48:51,28.100000,27.799999,65.000000,66.099998,27.000000,33.875000
